SalePrice,Id,Overall Qual,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Heating QC,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Finish,Garage Area,MS SubClass_30,MS SubClass_60,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_StoneBr,House Style_2Story,Foundation_CBlock,Foundation_PConc,Garage Type_Attchd,Garage Type_BuiltIn,Garage Type_Detchd,Garage Type_None,Total Lot,Total SF,Total Bath,Porch,House Age,Remod Age,Garage Age
131000,807,5,0.0,1,-0.5,0,-0.5,0.0,4,2.0,7,1,1,576.0,0,0,0,0,0,0,1,0,1,1,0,0,0,26520.0,4032.0,1.0,0,142,15,122.0
200000,1177,8,456.0,1,2.0,0,3.0,813.0,4,3.0,7,0,1,480.0,0,0,0,0,0,0,1,0,1,0,0,1,0,2669.0,4174.0,4.0,169,23,22,22.0
193000,1480,7,0.0,1,2.0,2,3.0,24.0,4,3.0,6,0,2,610.0,0,0,0,0,0,0,0,0,1,1,0,0,0,9701.0,4073.0,2.0,50,15,15,15.0
173500,324,5,0.0,0,4.0,2,0.0,0.0,4,3.0,7,0,2,624.0,0,0,0,0,0,0,0,0,1,1,0,0,0,10207.0,4290.0,2.0,0,18,17,18.0
98000,1311,5,0.0,0,0.0,0,0.0,0.0,1,2.0,7,0,1,513.0,0,0,0,0,1,0,1,0,0,0,0,1,0,4605.0,3312.0,1.0,0,106,72,106.0
139000,770,5,0.0,0,0.0,0,1.0,651.0,2,2.0,5,0,1,480.0,0,0,0,0,0,0,0,0,1,0,0,1,0,8896.0,3363.0,2.0,80,59,59,59.0
143500,2063,6,148.0,0,0.0,0,0.0,0.0,4,2.0,7,1,2,528.0,0,0,0,0,0,0,0,1,0,1,0,0,0,8268.0,3230.0,2.0,138,45,45,45.0
215200,69,7,0.0,0,2.0,1,3.0,24.0,4,3.0,7,0,1,614.0,0,1,0,0,0,0,1,0,1,1,0,0,0,8712.0,3850.0,3.0,214,13,13,13.0
129000,2062,5,0.0,0,2.0,0,1.0,492.0,3,2.0,5,1,3,450.0,0,0,0,0,0,0,0,1,0,1,0,0,0,8833.0,2682.0,1.0,0,54,54,54.0
278000,351,8,0.0,1,2.0,0,3.0,1158.0,4,4.5,5,1,3,499.0,0,0,0,0,0,1,0,0,1,1,0,0,0,5704.0,4819.0,3.0,271,22,22,22.0
344133,2393,8,0.0,1,4.0,2,0.0,0.0,4,4.5,8,1,3,575.0,0,1,0,1,0,0,1,0,1,1,0,0,0,12970.0,5715.0,3.0,385,17,16,17.0
185000,12,6,0.0,0,2.0,0,2.0,935.0,4,2.0,6,0,3,420.0,0,0,0,0,0,0,0,0,1,1,0,0,0,8052.025641025641,3542.0,3.0,504,30,15,30.0
145000,2339,5,0.0,0,0.0,1,1.0,1056.0,2,2.0,5,0,3,572.0,0,0,0,0,0,0,0,1,0,1,0,0,0,34750.0,3168.0,2.0,264,67,67,67.0
187500,624,6,3.0,0,0.0,0,1.0,1312.0,4,2.0,6,1,2,530.0,0,0,0,0,0,0,0,1,0,1,0,0,0,10665.0,4359.0,3.0,49,61,61,61.0
138500,86,5,0.0,0,0.0,0,3.0,553.0,4,2.0,5,1,1,336.0,0,0,0,0,0,0,0,1,0,0,0,1,0,8515.0,2682.0,2.0,560,57,13,49.0
198000,1534,5,0.0,0,0.0,0,1.0,606.0,4,3.0,7,1,1,240.0,0,0,0,0,0,0,0,1,0,0,0,1,0,11769.272727272728,4818.0,2.0,40,85,27,85.0
119600,2243,5,0.0,0,0.0,0,0.0,0.0,1,2.0,9,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,8325.0,4939.0,2.0,0,127,16,0.0
122900,1957,5,0.0,0,0.0,1,0.0,0.0,4,2.0,6,1,1,576.0,0,0,0,0,0,0,0,1,0,0,0,1,0,8124.0,2520.0,1.0,0,73,16,19.0
278000,380,8,0.0,1,2.0,0,2.0,1104.0,2,3.0,9,1,3,542.0,0,0,0,0,0,0,0,0,1,1,0,0,0,9680.0,7572.0,4.0,594,41,41,41.0
230000,2860,8,0.0,0,2.0,0,0.0,0.0,1,3.0,7,2,1,400.0,0,0,0,0,0,0,1,0,1,0,0,1,0,11504.272727272728,3826.0,1.0,0,93,72,91.0
270000,2517,8,0.0,1,2.0,2,0.5,437.0,4,4.5,6,1,3,481.0,0,0,0,0,0,0,0,0,1,1,0,0,0,9579.0,4482.0,3.0,30,27,26,27.0
125000,1933,6,0.0,0,0.0,0,2.0,441.0,2,2.0,5,0,1,410.0,0,0,0,0,0,0,0,1,0,0,0,1,0,11010.0,2844.0,1.0,48,70,70,70.0
297000,820,8,336.0,1,4.0,3,3.0,1288.0,4,3.0,7,1,2,826.0,0,0,0,0,0,0,0,0,1,1,0,0,0,10716.0,5141.0,3.0,252,15,14,15.0
113500,675,6,82.0,0,2.0,3,0.0,0.0,1,2.0,5,1,2,384.0,0,0,0,0,0,0,0,1,0,0,0,0,0,9080.0,2444.0,1.0,28,64,64,64.0
127000,2910,5,0.0,0,0.0,0,2.0,548.0,4,2.0,6,1,2,336.0,0,0,0,0,0,0,1,0,1,1,0,0,0,2706.0,3707.0,2.0,130,45,45,45.0
190000,21,6,480.0,0,2.0,0,1.0,705.0,4,2.0,7,1,2,546.0,0,0,0,0,0,0,0,1,0,1,0,0,0,11856.0,5532.0,2.0,122,45,45,45.0
175500,1873,7,320.0,0,0.0,0,2.0,916.0,1,2.0,6,1,1,528.0,0,0,0,0,0,0,0,1,0,1,0,0,0,9680.0,3726.0,2.0,0,49,49,49.0
146000,2125,5,0.0,0,2.0,0,3.0,420.0,4,2.0,5,0,1,384.0,0,0,0,0,0,0,0,0,1,0,0,1,0,8488.0,2970.0,2.0,256,28,28,27.0
147500,1489,5,0.0,1,0.0,0,1.0,830.0,3,2.0,6,0,3,276.0,0,0,0,0,0,0,0,1,0,1,0,0,0,10012.0,3768.0,3.0,804,57,57,57.0
465000,2383,10,0.0,2,4.0,3,3.0,1386.0,4,4.5,7,1,3,850.0,0,0,0,1,0,0,0,0,1,1,0,0,0,13998.0,6228.0,4.0,445,16,16,16.0
165500,983,5,104.0,0,2.0,2,3.0,1097.0,4,3.0,4,1,3,602.0,0,0,0,0,0,0,0,0,1,1,0,0,0,9176.476923076923,3317.0,2.0,333,44,44,44.0
131500,1325,5,335.0,0,0.0,0,0.0,0.0,4,2.0,7,0,1,352.0,0,0,0,0,1,0,0,0,0,1,0,0,0,12231.0,4640.0,2.0,0,68,68,68.0
129500,1378,5,0.0,0,0.0,0,1.0,906.0,4,2.0,5,0,1,384.0,0,0,0,0,0,0,0,1,0,0,0,1,0,11270.0,3120.0,2.0,0,57,57,57.0
257076,1537,8,40.0,0,0.0,0,0.5,210.0,2,2.0,9,2,3,786.0,0,0,0,0,0,0,1,0,1,0,0,1,0,9770.0,4354.0,2.0,0,87,72,87.0
117000,905,5,0.0,0,0.0,0,0.5,408.0,4,2.0,6,0,1,660.0,0,0,0,0,0,0,0,1,0,0,0,1,0,11058.0,4192.0,2.0,68,81,62,45.0
149000,1532,7,0.0,0,2.0,0,0.0,0.0,2,2.0,6,1,2,270.0,0,0,0,0,0,0,1,0,0,1,0,0,0,7260.0,3780.0,2.0,0,91,22,91.0
128000,132,5,110.0,0,0.0,0,1.0,354.0,2,2.0,6,0,2,280.0,0,0,0,0,0,0,0,1,0,1,0,0,0,10000.0,3182.0,2.0,0,68,68,68.0
155000,1078,7,106.0,1,2.0,0,0.0,0.0,4,3.0,6,0,2,474.0,0,0,0,1,0,0,1,0,1,0,1,0,0,2484.0,4016.0,3.0,27,19,18,19.0
166000,2511,6,513.0,1,2.0,0,3.0,353.0,4,3.0,4,0,1,440.0,0,0,0,0,0,0,1,0,1,0,0,1,0,3061.982905982906,3804.0,3.0,32,22,22,22.0
135000,912,4,0.0,0,0.0,0,1.0,622.0,2,3.0,7,2,1,576.0,0,0,0,0,0,0,0,0,0,0,0,1,0,7869.0,5084.0,3.0,475,94,72,41.0
250000,2351,7,184.0,0,2.0,0,1.0,790.0,2,3.0,12,2,2,564.0,0,1,0,0,0,0,1,1,0,1,0,0,0,16772.0,6960.0,5.0,112,44,44,44.0
76000,330,4,0.0,0,0.0,0,3.0,176.0,4,2.0,5,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,1497.0,2730.0,2.0,226,52,52,0.0
155000,2586,6,522.0,0,0.0,0,0.0,0.0,2,3.0,5,1,1,400.0,0,0,0,0,0,0,0,1,0,1,0,0,0,10245.0,3366.0,2.0,0,71,71,71.0
158000,224,6,143.0,0,0.0,0,2.0,371.0,2,2.0,7,0,3,299.0,0,1,0,0,0,0,1,1,0,1,0,0,0,9444.0,3367.0,2.0,415,53,53,53.0
149500,98,7,0.0,1,2.0,0,3.0,368.0,4,3.0,4,0,2,480.0,0,0,0,0,0,0,1,0,1,0,0,1,0,2568.0,3000.0,4.0,172,18,17,18.0
121000,2565,5,0.0,0,0.0,0,1.0,486.0,2,2.0,5,0,1,240.0,0,0,0,0,0,0,0,1,0,1,0,0,0,9970.0,2808.0,1.0,0,68,47,68.0
136000,1934,6,0.0,0,0.0,0,1.0,85.0,2,2.0,6,0,3,293.0,0,0,0,0,0,0,0,1,0,1,0,0,0,8010.0,3120.0,1.0,0,69,69,69.0
173000,997,6,0.0,0,2.0,0,1.0,138.0,3,2.0,7,1,3,386.0,0,1,0,0,0,0,1,0,1,1,0,0,0,15110.02564102564,4188.0,3.0,252,26,26,26.0
290000,64,8,348.0,1,2.0,0,3.0,524.0,4,3.0,9,1,3,671.0,0,1,1,0,0,0,1,0,1,1,0,0,0,11856.0,5692.0,3.0,189,23,15,23.0
303477,1799,8,0.0,1,2.0,2,3.0,64.0,4,4.5,11,1,3,550.0,0,1,0,0,0,0,1,0,1,0,1,0,0,9075.0,6404.0,3.0,572,15,15,15.0
270000,230,7,0.0,1,2.0,3,2.0,1092.0,3,2.0,4,2,2,690.0,0,0,0,0,0,0,0,1,0,1,0,0,0,20154.5,4386.0,3.0,496,45,21,45.0
122250,1295,5,0.0,-1,0.0,0,1.0,360.0,3,4.5,6,1,1,225.0,0,0,0,0,1,0,0,0,0,0,0,1,0,7389.0,4416.0,1.0,0,102,72,102.0
153000,638,5,0.0,0,0.0,0,1.0,172.0,3,3.0,6,0,1,350.0,0,0,0,0,0,0,0,1,0,1,0,0,0,8820.0,4146.0,1.0,280,67,67,67.0
147000,2278,5,0.0,0,2.0,0,2.0,206.0,4,2.0,6,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,8472.0,3360.0,1.0,30,15,15,0.0
148500,2202,7,0.0,0,2.0,0,3.0,246.0,2,2.0,5,1,1,216.0,0,0,0,0,0,0,1,0,0,0,0,1,0,4063.0,2727.0,2.0,0,92,27,92.0
130000,2833,7,117.0,1,2.0,0,0.0,0.0,4,3.0,7,0,1,380.0,0,0,0,0,0,0,1,0,1,0,0,1,0,3395.0,4392.0,2.0,40,18,18,18.0
372000,1707,9,510.0,2,4.0,3,0.0,0.0,4,4.5,7,1,3,843.0,0,0,0,1,0,0,0,0,1,1,0,0,0,13709.0,5406.0,3.0,263,16,16,16.0
213490,2428,7,145.0,1,2.0,3,3.0,16.0,4,3.0,6,1,3,440.0,0,0,0,0,0,0,0,0,1,1,0,0,0,3056.0,4374.0,2.0,162,17,17,17.0
308030,242,7,96.0,1,2.0,3,3.0,1346.0,4,3.0,5,2,2,572.0,0,0,0,0,0,0,0,0,1,1,0,0,0,17529.0,4524.0,2.0,0,13,12,13.0
300000,1564,7,668.0,1,4.0,1,3.0,700.0,4,3.0,7,0,3,786.0,0,0,0,0,0,0,0,0,1,1,0,0,0,23805.476923076923,5904.0,4.0,46,26,25,26.0
159500,2613,6,0.0,0,0.0,1,2.0,655.0,4,2.0,6,1,3,539.0,0,0,0,0,0,0,0,1,0,0,1,0,0,8989.0,3043.0,1.0,0,63,63,68.0
137500,2832,7,50.0,1,2.0,0,0.0,0.0,4,3.0,7,0,1,380.0,0,0,0,0,0,0,1,0,1,0,0,1,0,2546.0,4388.0,2.0,40,18,18,18.0
232000,2459,7,228.0,1,2.0,2,0.0,0.0,4,3.0,7,0,2,834.0,0,0,0,0,0,0,0,0,1,1,0,0,0,8761.0,4848.0,2.0,267,17,17,17.0
93850,1360,6,0.0,1,0.0,0,0.0,0.0,2,2.0,4,0,1,440.0,1,0,0,0,0,0,0,0,0,0,0,1,0,6352.890625,2304.0,1.0,0,92,72,92.0
105000,2723,5,65.0,0,0.0,0,0.0,0.0,1,1.0,5,1,1,322.0,1,0,0,0,0,0,0,0,0,0,0,1,0,17601.774647887323,2616.0,1.0,0,98,72,98.0
68500,1350,4,0.0,0,0.0,0,0.0,0.0,1,1.0,4,0,1,240.0,1,0,0,0,0,0,0,0,0,0,0,1,0,6384.0,1560.0,1.0,49,95,72,102.0
154300,136,5,361.0,0,0.0,0,1.0,443.0,2,2.0,12,0,1,480.0,0,0,0,0,0,0,1,1,0,0,0,1,0,11680.0,5653.0,2.0,0,62,62,62.0
129850,2235,5,0.0,1,0.0,0,0.0,0.0,4,2.0,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,7338.0,4138.0,2.0,0,97,19,0.0
114000,1993,5,0.0,0,0.0,0,1.0,168.0,4,2.0,6,0,1,480.0,0,0,0,0,1,0,1,0,0,0,0,1,0,4606.0,3080.0,1.0,280,112,72,102.0
501837,367,9,748.0,2,4.0,0,3.0,1904.0,4,4.5,9,1,3,1166.0,0,0,0,0,0,1,0,0,1,1,0,0,0,17486.0,6684.0,3.0,60,14,13,13.0
153900,1309,5,0.0,0,0.0,1,0.0,0.0,3,2.0,7,1,1,720.0,0,0,0,0,1,0,0,0,0,0,0,1,0,12765.0,3708.0,2.0,418,107,72,73.0
130000,402,4,0.0,0,0.0,0,2.0,240.0,3,2.0,5,0,1,576.0,0,0,0,0,0,0,0,1,0,0,0,1,0,9060.0,2592.0,1.0,200,51,16,36.0
160500,1592,6,197.0,0,4.0,0,3.0,864.0,4,2.0,4,0,2,392.0,0,0,0,0,0,0,0,0,1,1,0,0,0,4532.0,3567.0,3.0,122,25,25,25.0
310090,2409,9,572.0,2,4.0,0,3.0,415.0,4,3.0,6,1,2,575.0,0,0,0,1,0,0,0,0,1,1,0,0,0,6421.0,4998.0,3.0,303,16,16,16.0
184900,539,7,0.0,1,2.0,0,3.0,833.0,4,3.0,5,0,2,555.0,0,0,0,0,0,0,0,0,1,1,0,0,0,10150.0,3576.0,3.0,41,19,19,19.0
132000,1940,5,0.0,0,2.0,0,1.0,377.0,2,2.0,4,0,1,252.0,0,0,0,0,0,0,0,1,0,1,0,0,0,13370.0,2784.0,1.0,261,66,22,66.0
163000,588,5,128.0,0,2.0,1,2.0,553.0,2,2.0,6,1,2,502.0,0,0,0,0,0,0,0,1,0,1,0,0,0,9680.0,3960.0,2.0,323,53,53,53.0
155000,96,7,120.0,1,2.0,2,3.0,280.0,4,3.0,4,0,2,480.0,0,0,0,0,0,0,1,0,1,0,0,1,0,3245.0,3000.0,3.0,172,18,18,18.0
183000,1187,6,0.0,0,0.0,2,3.0,828.0,3,2.0,7,0,2,516.0,0,0,0,0,0,0,0,1,0,1,0,0,0,11184.965517241379,4281.0,2.0,0,53,53,53.0
211000,2154,7,254.0,1,2.0,1,3.0,762.0,4,3.0,7,2,2,608.0,0,1,0,0,0,0,1,0,1,1,0,0,0,15365.753246753247,4844.0,4.0,257,26,20,26.0
184000,550,7,0.0,1,2.0,0,0.5,36.0,4,3.0,6,0,2,495.0,0,1,0,0,0,0,1,0,1,1,0,0,0,9179.0,3834.0,4.0,172,28,28,28.0
118858,811,5,0.0,0,-0.5,0,-0.5,0.0,2,2.0,8,0,1,400.0,0,0,0,0,0,0,0,0,0,1,0,0,0,7082.0,3070.0,2.0,0,43,43,43.0
180500,124,5,86.0,0,0.0,2,3.0,1014.0,2,2.0,6,1,2,484.0,0,0,0,0,0,0,0,0,1,1,0,0,0,14187.192452830188,3456.0,2.0,227,58,58,58.0
166000,1836,8,30.0,1,2.0,0,3.0,60.0,4,3.0,5,0,3,484.0,0,0,0,0,0,0,0,0,1,1,0,0,0,3603.0,3443.0,3.0,60,16,15,16.0
148000,779,6,54.0,0,0.0,2,1.0,588.0,4,2.0,6,1,2,480.0,0,0,0,0,0,0,0,1,0,1,0,0,0,15400.0,3414.0,1.0,0,62,62,62.0
124000,1886,5,0.0,0,0.0,0,1.0,438.0,3,3.0,6,1,1,396.0,0,0,0,0,0,0,0,1,0,0,0,1,0,7524.0,3042.0,1.0,72,66,66,56.0
277500,1724,9,246.0,2,4.0,0,3.0,1153.0,4,4.5,6,1,3,556.0,0,0,0,1,0,0,0,0,1,1,0,0,0,7373.0,4683.0,3.0,250,17,17,17.0
350000,2450,8,397.0,1,2.0,0,2.0,527.0,4,3.0,9,1,2,725.0,0,1,1,0,0,0,1,0,1,1,0,0,0,10102.0,6794.0,3.0,476,27,27,27.0
387000,1013,9,296.0,2,4.0,3,3.0,1337.0,4,4.5,7,1,3,670.0,0,0,0,0,0,1,0,0,1,1,0,0,0,15454.0,5652.0,3.0,290,18,18,18.0
86000,2084,4,0.0,0,0.0,1,2.0,348.0,4,2.0,5,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,9156.0,1738.0,2.0,0,102,20,0.0
290000,1184,8,0.0,2,2.0,1,3.0,1044.0,4,4.5,6,1,2,550.0,0,0,0,0,0,0,0,1,0,1,0,0,0,16383.0,4768.0,4.0,370,46,15,46.0
44000,728,3,0.0,0,-0.25,0,0.0,0.0,2,2.0,5,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,9464.0,1839.0,1.0,36,122,72,0.0
215000,950,6,0.0,0,4.0,0,2.0,690.0,4,3.0,7,1,3,560.0,0,1,0,0,0,0,1,0,1,0,1,0,0,12280.0,4726.0,4.0,317,21,20,21.0
146500,2524,5,144.0,0,2.0,0,3.0,962.0,4,2.0,6,0,3,501.0,0,0,0,0,0,0,0,1,0,1,0,0,0,13189.0,3539.0,3.0,293,50,50,50.0
165000,2513,7,0.0,1,2.0,0,3.0,641.0,4,3.0,6,0,1,490.0,0,0,0,0,0,0,1,0,1,0,0,1,0,2714.982905982906,3437.0,4.0,203,22,22,22.0
136000,2028,6,0.0,0,0.0,0,1.0,168.0,2,3.0,10,1,1,216.0,0,0,0,0,1,0,0,0,0,0,0,1,0,8580.0,5766.0,2.0,103,106,72,106.0
252000,2309,6,902.0,0,2.0,3,2.0,1110.0,4,4.5,4,2,1,550.0,0,0,0,0,0,0,0,1,0,1,0,0,0,39459.19245283019,4485.0,3.0,189,65,65,65.0
175500,51,7,106.0,1,2.0,0,0.0,0.0,4,3.0,6,0,2,474.0,0,0,0,1,0,0,1,0,1,0,1,0,0,2664.0,4016.0,3.0,27,19,19,19.0
150000,699,5,0.0,0,0.0,0,2.0,421.0,2,2.0,7,1,1,400.0,0,0,0,0,1,0,1,0,0,0,0,1,0,6463.0,3806.0,2.0,36,83,72,83.0
139900,1881,5,0.0,0,0.0,0,0.0,0.0,2,2.0,6,1,2,286.0,0,0,0,0,0,0,0,1,0,1,0,0,0,12417.192452830188,3822.0,1.0,0,62,44,62.0
162900,1345,5,0.0,0,0.0,0,0.0,0.0,2,2.0,8,1,1,360.0,0,0,0,0,0,0,0,0,1,0,0,1,0,6292.0,4224.0,2.0,0,92,30,92.0
160000,166,6,261.0,0,0.0,0,0.0,0.0,2,2.0,5,0,1,440.0,0,0,0,0,0,0,0,1,0,1,0,0,0,10087.0,3348.0,2.0,0,60,60,60.0
63900,781,2,0.0,0,-0.5,0,-0.5,0.0,1,1.0,5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,9072.774647887323,1320.0,1.0,0,75,72,0.0
184000,379,6,144.0,0,0.0,0,2.0,832.0,3,2.0,7,1,3,479.0,0,0,0,0,0,0,0,0,1,1,0,0,0,11168.0,4554.0,2.0,0,44,24,44.0
149900,2818,5,132.0,0,0.0,0,1.0,176.0,2,1.0,6,2,3,528.0,0,0,0,0,0,0,0,1,0,1,0,0,0,17889.0,4398.0,2.0,140,63,63,63.0
300000,1168,9,260.0,1,2.0,2,3.0,1027.0,4,4.5,5,1,3,495.0,0,0,0,0,0,0,0,0,1,1,0,0,0,4828.982905982906,4890.0,3.0,298,22,22,22.0
145000,1396,5,275.0,0,0.0,1,1.0,988.0,3,2.0,7,2,1,626.0,0,0,0,0,0,0,0,1,0,0,0,0,0,10624.5,4430.0,3.0,134,62,62,62.0
231500,838,6,0.0,0,2.0,0,3.0,821.0,4,3.0,7,0,2,470.0,0,1,0,0,0,0,1,0,1,1,0,0,0,15491.0,4456.0,4.0,375,25,25,25.0
108000,1492,5,0.0,0,0.0,0,1.0,290.0,4,2.0,6,1,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,13970.0,2988.0,2.0,144,82,53,0.0
120000,637,5,0.0,0,0.0,0,1.0,435.0,2,2.0,6,0,2,304.0,0,0,0,0,0,0,0,1,0,1,0,0,0,8820.0,3606.0,1.0,35,66,66,66.0
128500,1826,5,57.0,0,0.0,0,1.0,827.0,2,2.0,5,0,1,572.0,0,0,0,0,0,0,0,1,0,0,0,1,0,10017.774647887323,2964.0,2.0,0,61,61,59.0
115000,173,5,0.0,0,0.0,0,0.0,0.0,3,2.0,5,1,1,360.0,1,0,0,0,1,0,0,1,0,0,0,1,0,9016.0,3064.0,1.0,0,95,72,95.0
110000,715,5,0.0,0,0.0,0,0.5,312.0,2,2.0,5,0,1,240.0,0,0,0,0,1,0,0,1,0,0,0,1,0,3550.0,3288.0,2.0,35,75,72,74.0
150000,1183,9,1050.0,1,2.0,0,3.0,410.0,2,3.0,9,1,2,864.0,0,1,0,0,0,0,1,1,0,1,0,0,0,24639.846153846152,6882.0,4.0,210,45,45,45.0
178000,2433,8,0.0,1,4.0,2,0.0,0.0,4,3.0,6,1,3,403.0,0,1,0,0,0,0,1,0,1,1,0,0,0,9130.0,3535.0,3.0,135,18,18,18.0
199500,2866,7,0.0,0,0.0,0,0.0,0.0,4,3.0,8,2,1,579.0,0,0,0,0,0,0,1,0,0,0,0,0,0,12390.0,3855.0,2.0,0,90,32,59.0
183500,2311,6,0.0,0,0.0,0,3.0,700.0,4,2.0,6,1,3,400.0,0,1,0,0,0,0,1,0,1,1,0,0,0,8298.0,3863.0,4.0,493,25,24,25.0
126000,1551,5,0.0,-1,2.0,1,1.0,257.0,4,2.0,7,1,1,288.0,0,0,0,0,0,0,0,1,0,1,0,0,0,6075.0,3936.0,2.0,180,55,55,55.0
148500,1049,7,0.0,0,2.0,0,2.0,378.0,1,2.0,4,0,1,440.0,0,0,0,0,0,0,0,1,0,1,0,0,0,2553.0,3165.0,2.0,38,45,45,45.0
149000,657,5,0.0,0,0.0,0,0.0,0.0,4,3.0,7,0,1,720.0,0,1,0,0,1,0,1,0,0,0,0,1,0,10860.0,3380.0,2.0,187,83,16,83.0
137900,414,6,0.0,0,2.0,0,2.0,389.0,2,2.0,6,1,1,440.0,0,0,0,0,0,0,1,1,0,1,0,0,0,2373.0,3767.0,3.0,28,45,45,45.0
324000,1181,8,0.0,1,2.0,3,3.0,1619.0,4,3.0,6,2,3,473.0,0,0,0,0,0,0,0,0,1,1,0,0,0,10878.0,5157.0,4.0,152,29,29,29.0
98000,1514,5,0.0,0,0.0,0,1.0,468.0,2,2.0,5,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,5671.0,2592.0,2.0,0,97,72,0.0
103400,1040,6,359.0,0,0.0,0,0.5,458.0,2,2.0,5,0,1,264.0,0,0,0,0,0,0,1,1,0,0,0,1,0,1701.0,2457.0,2.0,52,49,49,49.0
94000,216,5,0.0,0,0.0,0,0.0,0.0,3,2.0,6,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,6396.0,2820.0,1.0,0,147,26,0.0
209500,1720,8,108.0,1,2.0,1,3.0,24.0,4,3.0,6,1,2,627.0,0,0,0,1,0,0,0,0,1,1,0,0,0,4624.0,4662.0,2.0,229,16,16,16.0
545224,2331,10,662.0,2,4.0,3,0.0,0.0,4,4.5,10,1,3,758.0,0,1,0,0,0,1,1,0,1,0,1,0,0,18122.0,8308.0,4.0,238,16,16,16.0
159900,204,6,0.0,1,0.0,0,0.0,0.0,4,3.0,7,0,0,0.0,0,0,0,0,1,0,1,0,1,0,0,0,1,12960.0,3900.0,2.0,344,110,13,0.0
141000,19,4,0.0,0,0.0,0,0.5,120.0,4,2.0,4,0,1,400.0,0,0,0,0,0,0,0,1,0,0,0,1,0,19278.0,2592.0,1.0,0,71,71,71.0
215000,2438,6,0.0,0,2.0,0,2.0,732.0,4,2.0,9,1,3,431.0,0,1,0,0,0,0,1,0,1,1,0,0,0,8730.02564102564,4760.0,3.0,0,22,22,22.0
